date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:53:12	31726/31726	---M-Z	200	added ('OK')	application/javascript	etag:%227bee-547b36f68445d-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/keydesign-addon/assets/js/photoswipe.min.js?ver=4.8.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/keydesign-addon/assets/js/photoswipe.mina288.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:12	64896/64896	---M-Z	200	added ('OK')	application/javascript	etag:%22fd80-55264beb7ca23-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.5.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min9009.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:12	9876/9876	---M-Z	200	added ('OK')	application/javascript	etag:%222694-547b36f684845-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/keydesign-addon/assets/js/photoswipe-ui-default.min.js?ver=4.8.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/keydesign-addon/assets/js/photoswipe-ui-default.mina288.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:13	956/956	---MC-	200	added ('OK')	text/xml	date:Wed,%2009%20Aug%202017%2006:23:11%20GMT	http://keydesign-themes.com/intact/corporate/xmlrpc.php?rsd	D:/techlopers/keydesign-themes.com/intact/corporate/xmlrpc0db0.php	(from http://keydesign-themes.com/intact/corporate/)
11:53:13	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4c8d5fb600%22	http://keydesign-themes.com/intact/corporate/wp-includes/wlwmanifest.xml	D:/techlopers/keydesign-themes.com/intact/corporate/wp-includes/wlwmanifest.xml	(from http://keydesign-themes.com/intact/corporate/)
11:53:14	2270/2270	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Aug%202017%2006:23:12%20GMT	http://keydesign-themes.com/intact/corporate/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkeydesign-themes.com%2Fintact%2Fcorporate%2F	D:/techlopers/keydesign-themes.com/intact/corporate/wp-json/oembed/1.0/embed7592.json	(from http://keydesign-themes.com/intact/corporate/)
11:53:15	2361/2361	---MC-	200	added ('OK')	text/xml	date:Wed,%2009%20Aug%202017%2006:23:13%20GMT	http://keydesign-themes.com/intact/corporate/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkeydesign-themes.com%2Fintact%2Fcorporate%2F&format=xml	D:/techlopers/keydesign-themes.com/intact/corporate/wp-json/oembed/1.0/embedb603	(from http://keydesign-themes.com/intact/corporate/)
11:53:15	54179/54179	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Aug%202017%2006:23:11%20GMT	http://keydesign-themes.com/intact/corporate/wp-json/	D:/techlopers/keydesign-themes.com/intact/corporate/wp-json/index.html	(from http://keydesign-themes.com/intact/corporate/)
11:53:16	18254/18254	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2009%20Aug%202017%2006:23:14%20GMT	https://use.typekit.net/tzw4gjp.js	D:/techlopers/use.typekit.net/tzw4gjp.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:22	40693/40693	---MC-	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2006:23:17%20GMT	http://keydesign-themes.com/intact/corporate/home/intro/	D:/techlopers/keydesign-themes.com/intact/corporate/home/intro/index.html	(from http://keydesign-themes.com/intact/corporate/)
11:53:22	54570/54570	---MC-	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2006:23:17%20GMT	http://keydesign-themes.com/intact/corporate/home/services-we-provide/	D:/techlopers/keydesign-themes.com/intact/corporate/home/services-we-provide/index.html	(from http://keydesign-themes.com/intact/corporate/)
11:53:26	41517/41517	---MC-	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2006:23:21%20GMT	http://keydesign-themes.com/intact/corporate/home/1917-2/	D:/techlopers/keydesign-themes.com/intact/corporate/home/1917-2/index.html	(from http://keydesign-themes.com/intact/corporate/)
11:53:36	135512/135512	---M--	200	added ('OK')	image/jpeg	etag:%2221158-552efc9229893%22	http://keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/slide1.jpg	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/slide1.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:53:37	4229/4229	---M--	200	added ('OK')	image/jpeg	etag:%221085-552efcec7ba27%22	http://keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/uk.jpg	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/uk.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:53:38	2294/2294	---M--	200	added ('OK')	image/jpeg	etag:%228f6-552efce164006%22	http://keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/france.jpg	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/france.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:53:39	2373/2373	---M--	200	added ('OK')	image/jpeg	etag:%22945-552efcd928cc8%22	http://keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/germany.jpg	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/germany.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:53:40	3379/3379	---M--	200	added ('OK')	image/jpeg	etag:%22d33-552efcd016430%22	http://keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/us.jpg	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/us.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:53:40	972/972	---M--	200	added ('OK')	image/jpeg	etag:%223cc-552efd69dfddd%22	http://keydesign-themes.com/intact/business/wp-content/uploads/sites/2/2017/02/logo-footer.jpg	D:/techlopers/keydesign-themes.com/intact/business/wp-content/uploads/sites/2/2017/02/logo-footer.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:53:41	13714/13714	---M-Z	200	added ('OK')	application/javascript	etag:%223592-555e96741135a-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=4.8.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/contact-form-7/includes/js/scriptsa288.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:44	49368/49368	---MC-	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2006:23:41%20GMT	http://keydesign-themes.com/intact/corporate/future-design-concept/	D:/techlopers/keydesign-themes.com/intact/corporate/future-design-concept/index.html	(from http://keydesign-themes.com/intact/corporate/)
11:53:46	35951/35951	---M-Z	200	added ('OK')	application/javascript	etag:%228c6f-547b3cc4ecb18-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/themes/intact/core/assets/js/bootstrap.min.js?ver=4.8.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/themes/intact/core/assets/js/bootstrap.mina288.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:48	50512/50512	---MC-	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2006:23:45%20GMT	http://keydesign-themes.com/intact/corporate/stand-out-venues/	D:/techlopers/keydesign-themes.com/intact/corporate/stand-out-venues/index.html	(from http://keydesign-themes.com/intact/corporate/)
11:53:49	7994/7994	---M-Z	200	added ('OK')	application/javascript	etag:%221f3a-540632ff3cc80-gzip%22	http://keydesign-themes.com/intact/corporate/wp-includes/js/imagesloaded.min.js?ver=3.2.0	D:/techlopers/keydesign-themes.com/intact/corporate/wp-includes/js/imagesloaded.min55a0.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:52	44154/44154	---MC-	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2006:23:48%20GMT	http://keydesign-themes.com/intact/corporate/technology-upgraded/	D:/techlopers/keydesign-themes.com/intact/corporate/technology-upgraded/index.html	(from http://keydesign-themes.com/intact/corporate/)
11:53:53	28954/28954	---M-Z	200	added ('OK')	application/javascript	etag:%22711a-5365f4640d400-gzip%22	http://keydesign-themes.com/intact/corporate/wp-includes/js/masonry.min.js?ver=3.3.2	D:/techlopers/keydesign-themes.com/intact/corporate/wp-includes/js/masonry.mind617.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:55	20536/20536	---M-Z	200	added ('OK')	application/javascript	etag:%225038-547b3cc654127-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/themes/intact/core/assets/js/SmoothScroll.js?ver=4.8.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/themes/intact/core/assets/js/SmoothScrolla288.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:56	16715/16715	---M-Z	200	added ('OK')	application/javascript	etag:%22414b-5541db284a0ca-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/themes/intact/core/assets/js/scripts.js?ver=4.8.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/themes/intact/core/assets/js/scriptsa288.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:56	178888/178888	---M--	200	added ('OK')	image/jpeg	etag:%222bac8-552efcfd38d76%22	http://keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/testimonials.jpg	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/testimonials.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:53:57	1398/1398	---M-Z	200	added ('OK')	application/javascript	etag:%22576-541fd08d10280-gzip%22	http://keydesign-themes.com/intact/corporate/wp-includes/js/wp-embed.min.js?ver=4.8.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-includes/js/wp-embed.mina288.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:58	554/554	---M-Z	200	added ('OK')	application/javascript	etag:%2222a-547b36f68445d-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/keydesign-addon/assets/js/kd_progressbar.js?ver=4.8.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/keydesign-addon/assets/js/kd_progressbara288.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:58	18908/18908	---M-Z	200	added ('OK')	application/javascript	etag:%2249dc-54c7b40667dab-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min.js?ver=5.1.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min3c21.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:59	11805/11805	---M-Z	200	added ('OK')	application/javascript	etag:%222e1d-54c7b4064faf2-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/js_composer/assets/lib/vc_accordion/vc-accordion.min.js?ver=5.1.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/js_composer/assets/lib/vc_accordion/vc-accordion.min3c21.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:59	2426/2426	---M-Z	200	added ('OK')	application/javascript	etag:%2297a-54c7b4065d5b3-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/js_composer/assets/lib/vc-tta-autoplay/vc-tta-autoplay.min.js?ver=5.1.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/js_composer/assets/lib/vc-tta-autoplay/vc-tta-autoplay.min3c21.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:59	4153/4153	---M-Z	200	added ('OK')	application/javascript	etag:%221039-54c7b4065d1cb-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/js_composer/assets/lib/vc_tabs/vc-tabs.min.js?ver=5.1.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/js_composer/assets/lib/vc_tabs/vc-tabs.min3c21.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:59	2500/2500	---M-Z	200	added ('OK')	application/javascript	etag:%229c4-547b36f684845-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/keydesign-addon/assets/js/kd_countto.js?ver=4.8.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/keydesign-addon/assets/js/kd_counttoa288.js	(from http://keydesign-themes.com/intact/corporate/)
